,ald001,am001,ic001,ptsa,ptsa_dil_x_10,DMF
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
323,35,15.10344828,50,40,0,59.89655172
324,35,15.72413793,20,0,16,113.2758621
325,35,15.72413793,20,20.8,0,108.4758621
326,35,15.72413793,20,40,0,89.27586207
327,35,15.72413793,35,0,16,98.27586207
328,35,15.72413793,35,20.8,0,93.47586207
329,35,15.72413793,35,40,0,74.27586207
330,35,15.72413793,50,0,16,83.27586207
331,35,15.72413793,50,20.8,0,78.47586207
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
332,35,15.72413793,50,40,0,59.27586207
333,35,16.34482759,20,0,16,112.6551724
334,35,16.34482759,20,20.8,0,107.8551724
335,35,16.34482759,20,40,0,88.65517241
336,35,16.34482759,35,0,16,97.65517241
337,35,16.34482759,35,20.8,0,92.85517241
338,35,16.34482759,35,40,0,73.65517241
339,35,16.34482759,50,0,16,82.65517241
340,35,16.34482759,50,20.8,0,77.85517241
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
341,35,16.34482759,50,40,0,58.65517241
342,35,16.96551724,20,0,16,112.0344828
343,35,16.96551724,20,20.8,0,107.2344828
344,35,16.96551724,20,40,0,88.03448276
345,35,16.96551724,35,0,16,97.03448276
346,35,16.96551724,35,20.8,0,92.23448276
347,35,16.96551724,35,40,0,73.03448276
348,35,16.96551724,50,0,16,82.03448276
349,35,16.96551724,50,20.8,0,77.23448276
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
350,35,16.96551724,50,40,0,58.03448276
351,35,17.5862069,20,0,16,111.4137931
352,35,17.5862069,20,20.8,0,106.6137931
353,35,17.5862069,20,40,0,87.4137931
354,35,17.5862069,35,0,16,96.4137931
355,35,17.5862069,35,20.8,0,91.6137931
356,35,17.5862069,35,40,0,72.4137931
357,35,17.5862069,50,0,16,81.4137931
358,35,17.5862069,50,20.8,0,76.6137931
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
359,35,17.5862069,50,40,0,57.4137931
360,35,18.20689655,20,0,16,110.7931034
361,35,18.20689655,20,20.8,0,105.9931034
362,35,18.20689655,20,40,0,86.79310345
363,35,18.20689655,35,0,16,95.79310345
364,35,18.20689655,35,20.8,0,90.99310345
365,35,18.20689655,35,40,0,71.79310345
366,35,18.20689655,50,0,16,80.79310345
367,35,18.20689655,50,20.8,0,75.99310345
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
368,35,18.20689655,50,40,0,56.79310345
369,35,18.82758621,20,0,16,110.1724138
370,35,18.82758621,20,20.8,0,105.3724138
371,35,18.82758621,20,40,0,86.17241379
372,35,18.82758621,35,0,16,95.17241379
373,35,18.82758621,35,20.8,0,90.37241379
374,35,18.82758621,35,40,0,71.17241379
375,35,18.82758621,50,0,16,80.17241379
376,35,18.82758621,50,20.8,0,75.37241379
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
377,35,18.82758621,50,40,0,56.17241379
378,35,19.44827586,20,0,16,109.5517241
379,35,19.44827586,20,20.8,0,104.7517241
380,35,19.44827586,20,40,0,85.55172414
381,35,19.44827586,35,0,16,94.55172414
382,35,19.44827586,35,20.8,0,89.75172414
383,35,19.44827586,35,40,0,70.55172414
384,35,19.44827586,50,0,16,79.55172414
385,35,19.44827586,50,20.8,0,74.75172414
